"2644";"Brochure texts";"4";"application/vnd.google-apps.document";"2014-03-11 14:51:21.000000";"9";"3";"2"
"6958";"Final Presentation screen play";"4";"application/vnd.google-apps.document";"2014-05-22 18:45:14.000000";"12";"3";"2"
"2706";"Finland";"4";"application/vnd.google-apps.document";"2014-03-20 13:12:51.000000";"3";"3";"2"
"4840";"00_exec-summary";"4";"application/vnd.google-apps.document";"2014-06-05 19:03:18.000000";"6";"3";"2"
"5819";"Table of content";"2";"application/vnd.google-apps.spreadsheet";"2014-03-22 17:22:43.000000";"18";"3";"2"
"4827";"Functional handout";"4";"application/vnd.google-apps.document";"2014-02-28 15:17:43.000000";"7";"3";"2"
"2966";"ideation";"4";"application/vnd.google-apps.document";"2014-01-20 14:13:16.000000";"24";"3";"2"
"6535";"Hardware System Diagram (draw.io)";"1";"application/vnd.jgraph.mxfile";"2014-04-24 12:44:30.000000";"4";"3";"2"
"1545";"French Handout 30.01.2014";"2";"application/vnd.google-apps.document";"2014-01-30 12:34:54.000000";"3";"3";"2"
"6520";"Datapharmers Tracktor - Concept Description";"4";"application/vnd.google-apps.document";"2014-04-30 11:49:43.000000";"14";"3";"2"
"82";"Stanford 2014-01-16";"1";"application/vnd.google-apps.document";"2014-01-23 16:14:48.000000";"14";"3";"2"
"6204";"2014-04-07 FINGER call agenda";"4";"application/vnd.google-apps.document";"2014-04-08 11:26:13.000000";"11";"3";"2"
"4907";"06 Learnings - analysis.indd";"4";"application/octet-stream";"2014-04-02 11:57:36.000000";"42";"2";"2"
"1524";"2014-01-30 Stanford slides - DarkHorsev3.0";"1";"application/vnd.google-apps.presentation";"2014-02-11 10:31:20.000000";"4";"2";"2"
"6133";"German presentation 3.4";"2";"application/vnd.google-apps.presentation";"2014-04-04 08:58:05.000000";"3";"2";"2"
"4828";"BloodMoneyCloud Handout 05.03.2014";"4";"application/vnd.google-apps.document";"2014-03-11 17:05:34.000000";"2";"2";"2"
"7026";"8 minute pitch Hayk";"1";"application/vnd.google-apps.document";"2014-05-22 13:09:35.000000";"8";"2";"2"
"4903";"00 Index.indd";"4";"application/octet-stream";"2014-04-02 11:57:56.000000";"25";"2";"2"
"323";"Kickoff Lapeyre synthesis complements.docx";"2";"application/vnd.openxmlformats-officedocument.wordprocessingml.document";"2013-12-01 14:07:27.000000";"2";"2";"2"
"7188";"slide_template_q.png";"1";"image/png";"2014-06-03 18:07:18.000000";"2";"2";"2"
"83";"Lambda: BIAS & BoardPod";"1";"application/vnd.google-apps.document";"2014-01-18 06:19:25.000000";"4";"2";"2"
"7179";"Notes Claudia";"1";"application/vnd.google-apps.document";"2014-06-05 16:41:15.000000";"7";"2";"2"
"727";"IMG_1166.JPG";"2";"image/jpeg";"2014-03-06 00:53:57.000000";"2";"2";"2"
"4908";"05 Prototypes testing design assumptions.indd";"4";"application/octet-stream";"2014-04-02 11:57:51.000000";"29";"2";"2"
"7086";"HPI Winter Presentation V13";"1";"application/vnd.google-apps.presentation";"2014-06-03 23:42:01.000000";"2";"2";"2"
"1094";"IMG_7647.JPG";"2";"image/jpeg";"2014-03-06 05:49:30.000000";"2";"2";"2"
"7841";"Table of Contents";"4";"application/vnd.google-apps.document";"2014-06-10 03:48:10.000000";"3";"2";"2"
"4904";"02 Context.indd";"4";"application/octet-stream";"2014-04-02 11:57:46.000000";"38";"2";"2"
